"","Species Code","No. recordings","Mean HawkEars confidence","Precision","Recall","F1 score"
"1","ROPT",11,0.878,1,0.363636363636364,0.533333333333333
"2","RUGR",92,0.948821428571429,0.785714285714286,0.956521739130435,0.862745098039216
"3","SPGR",26,0.925545454545455,0.568181818181818,0.961538461538462,0.714285714285714
"4","STGR",46,0.843714285714286,1,0.304347826086957,0.466666666666667
"5","WIPT",730,0.861199074074074,0.99537037037037,0.294520547945205,0.454545454545455
