"","Species Code","No. recordings","Mean HawkEars confidence","Precision","Recall","F1 score"
"1","ROPT",77,0.896948717948718,0.974358974358974,0.493506493506494,0.655172413793103
"2","RUGR",841,0.959330154946365,0.963051251489869,0.960760998810939,0.961904761904762
"3","SPGR",105,0.921165413533835,0.631578947368421,0.8,0.705882352941177
"4","STGR",324,0.838428571428571,1,0.0864197530864197,0.159090909090909
"5","WIPT",1221,0.855942942942943,0.996996996996997,0.271908271908272,0.427284427284427
